,subject_id,min,max
0,abr,2020-02-13,2022-10-26
1,ala,2020-02-04,2022-09-14
2,alv,2020-02-06,2020-12-17
3,anu,2020-02-18,2020-10-21
4,bar,2020-02-04,2022-09-21
5,ber,2021-09-22,2023-06-16
6,ces,2020-02-07,2022-09-14
7,dor,2020-05-20,2023-06-16
8,eri,2020-12-19,2023-06-16
9,fic,2021-06-19,2023-06-16
10,gan,2023-05-29,2023-06-16
11,her,2022-09-09,2023-06-16
12,hor,2022-10-29,2023-06-16
13,jea,2021-07-29,2023-06-10
14,las,2020-07-14,2023-06-16
15,nem,2020-02-05,2023-06-16
16,ner,2020-04-19,2023-06-16
17,ola,2020-02-23,2020-12-16
18,olg,2021-07-29,2022-07-05
19,oll,2020-02-04,2022-05-10
20,pac,2020-03-03,2023-06-14
21,pat,2022-07-11,2023-06-16
22,yin,2020-05-20,2023-06-16
23,yoh,2020-02-17,2023-06-11
