,monkey,elo,RT,date_start,date_end
0,abr,1191.3099041533546,761.5532375064597,2020-02-13,2022-10-26
1,ala,1126.6308016877638,919.5908057941739,2020-02-04,2022-09-14
2,alv,1152.993670886076,889.348671131613,2020-02-06,2020-12-17
3,anu,1162.6396761133603,866.7044912979218,2020-02-18,2020-10-21
4,bar,1095.915611814346,779.2860880640318,2020-02-04,2022-09-21
5,ber,959.4971590909091,1405.536240881577,2021-09-22,2023-06-16
6,ces,875.8871331828442,973.5404047443633,2020-02-07,2022-09-14
7,dor,748.6080760095011,862.9793521416485,2020-05-20,2023-06-16
8,eri,744.2655007949126,870.6706683971447,2020-12-19,2023-06-16
9,fic,819.0648769574944,945.4775569137603,2021-06-19,2023-06-16
13,jea,739.7420147420147,1335.5910629654707,2021-07-29,2023-06-10
14,las,706.6836086404066,1100.481212469886,2020-07-14,2023-06-16
15,nem,985.0834213305175,903.575087138493,2020-02-05,2023-06-16
16,ner,1064.6013745704468,705.9611550024471,2020-04-19,2023-06-16
17,ola,1338.1140939597315,581.5545322346098,2020-02-23,2020-12-16
18,olg,923.780701754386,734.392864508146,2021-07-29,2022-07-05
19,oll,1184.7746666666667,1110.5791420911528,2020-02-04,2022-05-10
20,pac,1219.6760869565217,790.589395206243,2020-03-03,2023-06-14
21,pat,866.6833333333333,683.031429136193,2022-07-11,2023-06-16
22,yin,963.9180522565321,565.1811011323701,2020-05-20,2023-06-16
23,yoh,842.351871657754,718.9832453546231,2020-02-17,2023-06-11
