,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1233,2.0,2020-06-17 13:22:45,2020-06-19 08:10:17,0.8709574518830308,TK+,0,0.2401289172022969,1.6250287341007112,2.2060714462054607,0.7036127869511997,0.4765937170239031,2.0,0.4477456184892433
1,ala,1087,5.5,2020-06-09 09:20:44,2020-06-11 13:26:16,0.9133569049000635,TK+,0,0.025417770409849813,4.423479372922477,1.036155118069158,1.0150053027305797,0.3550568820380395,1.1581869197828876,2.0
2,alv,1177,1.8846153846153846,2020-11-13 10:36:03,2020-12-09 13:00:17,0.8764853536776613,TK+,0,-0.555110123150636,1.1561260233831474,2.3058963589601142,1.3340272330061773,0.7552972383939078,1.1011889929155,2.0
3,anu,1185,2.0,2020-03-15 13:59:47,2020-03-31 18:12:02,0.8473605110563286,TK+,0,-0.5082301080935612,2.023950899963785,1.1667472360650155,0.7287518880502838,0.4673335262354798,0.34610802191340057,0.5889628894898398
4,bar,1146,4.666666666666667,2021-09-24 11:57:44,2021-09-30 07:54:51,0.918081784228843,TK+,0,-0.3529397036984107,3.338996211740736,1.6172665329073341,1.049690943545091,0.6711312877595338,0.7528381911070806,0.7121586104715787
5,ber,955,7.666666666666667,2022-05-04 09:21:05,2022-05-19 18:39:55,0.8925293964859677,TK+,0,-0.49139571689864514,2.458336679906518,1.3968667746165537,0.30315984016723735,0.4123968425991813,2.0,0.8472668556233726
6,ces,954,10.0,2022-03-29 13:28:41,2022-04-11 15:37:54,0.8985804681936069,TK+,0,-0.44523797710127705,1.9830510517547835,1.6110124267114978,1.3478501505927765,0.6859332777876458,0.8371260219435503,2.0
7,dor,758,14.428571428571429,2021-09-28 14:14:14,2021-10-12 15:11:50,0.8560763812319367,TK+,0,-0.12887737855641718,2.429253396829173,1.590746679374907,0.7743831664295605,0.49931225290205833,1.4958350776680576,2.0
8,eri,729,16.0,2021-11-18 10:24:11,2021-11-26 08:27:22,0.9010235397916138,TK+,0,-0.04382233374773072,3.5638007407683823,1.0649970249636709,0.6777495905677672,0.681540261231233,1.0571439682738268,1.7421813678037277
9,fic,928,,2023-06-09 06:12:19,2023-06-13 07:44:23,0.8848702203905155,TK+,0,-1.1622956775685351,1.1396690107913534,4.09065972139974,1.5800233191252002,0.8446605262449428,1.2323365696862207,2.0
10,her,651,,2023-06-01 07:55:52,2023-06-09 13:41:18,0.8575810032063229,TK+,0,-0.7187005860952109,1.5231220233411713,1.9891122092075137,0.8239949547208155,0.6994628441090349,1.4541622728579682,2.0
11,hor,836,,2023-05-20 08:42:56,2023-05-26 11:58:08,0.8547019456506686,TK+,0,-0.5813765082079749,1.7952986694087014,1.3960808741351558,0.902196906019631,0.7103108251199379,1.594729712106183,2.0
12,las,627,15.0,2022-05-26 14:35:24,2022-06-09 17:46:03,0.8670280057391169,TK+,0,0.013871652177668068,3.374861308968039,0.6552203670748686,0.34846243374684344,0.6898994665309863,0.7933597219775772,0.5332833626758553
13,nem,1036,7.0,2022-04-28 07:22:39,2022-05-07 07:56:54,0.8732658799533799,TK+,0,-0.4014256367435289,2.5542056383713083,1.035939478658696,0.8938302181785698,0.9284332780731331,1.173958559924027,2.0
14,ner,1026,4.461538461538462,2021-09-19 16:14:51,2021-10-02 12:31:43,0.8257477605086396,TK+,0,-0.10037259962148516,1.1534516739032712,0.2018334815765647,0.5012073752966283,2.0,0.5902078887821028,0.5811208194385084
15,oll,1234,2.0,2021-08-04 13:15:47,2021-08-10 14:12:19,0.892297483324756,TK+,0,-0.26374868193965906,2.986204103229224,0.896767032506598,0.8298886869489074,0.6649231023826441,0.8022637747541189,0.6985103406596275
16,pac,1296,1.0,2020-06-03 08:41:34,2020-06-17 06:31:40,0.8612365768852907,TK+,0,0.32257696883784354,2.732834108515233,0.9850757117157591,0.7302342267782728,0.19442894691048454,1.1002470549985848,0.6917026158287949
17,pat,841,,2022-11-14 14:11:18,2022-11-19 15:32:30,0.8395490604167075,TK+,0,-2.5367465910886797,0.6598897236711893,2.0222912213623068,1.234754113692941,0.1,0.6617508221742898,0.1
18,yoh,892,,2022-09-10 11:49:23,2022-09-15 15:16:45,0.8434867227893058,TK+,0,-0.10687779393962944,1.380487051690195,2.4267748473769033,1.0521093993777,0.6355039018380706,0.8429915871295743,0.28021188322780016
