,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1233,2.0,2020-06-17 13:22:45,2020-06-19 08:10:17,0.8621642814336818,TK,0,0.20683238870761805,1.8604223037914842,1.9263632722072512,0.6376194346835621,0.4439211356958215,0.5029567960495558
1,ala,1087,5.5,2020-06-09 09:20:44,2020-06-11 13:26:16,0.9083789890960607,TK,0,0.026784090008269944,4.139269457151324,1.2515451262885795,1.0511598101888235,0.2532185951709604,1.2211251490158548
2,alv,1177,1.8846153846153846,2020-11-13 10:36:03,2020-12-09 13:00:17,0.8732829000466363,TK,0,-0.6100119934077233,1.025270507874415,3.051234405841227,1.4072151591463262,0.5827643746169537,1.2412831559323307
3,anu,1185,2.0,2020-03-15 13:59:47,2020-03-31 18:12:02,0.8457516632079369,TK,0,-0.41591927502421466,2.4653015996524412,0.8008077869062556,0.5924836246325333,0.5564343102292018,0.44861813845381193
4,bar,1146,4.666666666666667,2021-09-24 11:57:44,2021-09-30 07:54:51,0.9182472254053137,TK,0,-0.3521759276152023,3.3435420304160313,1.6063777004732767,1.0531535315934126,0.668438597425152,0.7316283081286282
5,ber,955,7.666666666666667,2022-05-04 09:21:05,2022-05-19 18:39:55,0.8910021876880823,TK,0,-0.39344763701197005,3.015358022047936,1.0906431428671965,0.24877046012692883,0.41941140908875996,0.7915982051392949
6,ces,954,10.0,2022-03-29 13:28:41,2022-04-11 15:37:54,0.8962087847270329,TK,0,-0.4810175100130165,1.8162197267160076,2.492802731754191,1.3865898867093054,0.4707979575138028,0.8466216875094372
7,dor,758,14.428571428571429,2021-09-28 14:14:14,2021-10-12 15:11:50,0.852535111390667,TK,0,-0.15139722251887208,2.0283712264942073,1.9386386723433606,0.8979025173094052,0.4983078238371334,2.0
8,eri,729,16.0,2021-11-18 10:24:11,2021-11-26 08:27:22,0.8993638397033423,TK,0,-0.04604286782189378,3.128631874346355,1.4088286703487194,0.7344262699793576,0.5701472002932647,1.3110190243153075
9,fic,928,,2023-06-09 06:12:19,2023-06-13 07:44:23,0.87887057714733,TK,0,-1.506658268643206,0.8453625372493778,5.796742102045409,1.818872536611709,0.7546297910009601,1.7106089737997834
10,her,651,,2023-06-01 07:55:52,2023-06-09 13:41:18,0.8582585969491341,TK,0,-0.8348843449989912,1.3094906093214267,2.3512573102940655,0.9522739548335494,0.6972350040051131,2.0
11,hor,836,,2023-05-20 08:42:56,2023-05-26 11:58:08,0.854901040673293,TK,0,-0.6448235296132201,1.6245389295853603,1.5668866078027504,0.9994534794314881,0.7067346404301438,2.0
12,las,627,15.0,2022-05-26 14:35:24,2022-06-09 17:46:03,0.8661359422470534,TK,0,0.013774340355694218,3.330286787885318,0.7063187650788546,0.369484623890099,0.6052138643418107,0.6791404539453908
13,nem,1036,7.0,2022-04-28 07:22:39,2022-05-07 07:56:54,0.8735055508217273,TK,0,-0.525413738842261,1.9242623446415321,1.4094768926440628,1.1256968576792328,0.9219230617192493,2.0
14,ner,1026,4.461538461538462,2021-09-19 16:14:51,2021-10-02 12:31:43,0.8278058560685939,TK,0,-0.10049191451723546,1.1524240433631041,0.20172985335355878,0.5024088001351401,2.0,0.5863715483140819
15,oll,1234,2.0,2021-08-04 13:15:47,2021-08-10 14:12:19,0.8927823790351063,TK,0,-0.2626053070041769,2.988974656342866,0.8981475659961606,0.8354602878302095,0.6452540854346502,0.7713836608954195
16,pac,1296,1.0,2020-06-03 08:41:34,2020-06-17 06:31:40,0.8601223856220085,TK,0,0.305391332029733,2.895523346451479,0.8871157750142641,0.707116493457686,0.16866167155714354,0.9472557387352737
17,pat,841,,2022-11-14 14:11:18,2022-11-19 15:32:30,0.832759844730433,TK,0,-5.0,0.32752446656736167,4.517751592614092,1.7933466001801999,0.1,0.34065668710298874
18,yoh,892,,2022-09-10 11:49:23,2022-09-15 15:16:45,0.841909799097991,TK,0,-0.14011402906506792,0.982940209185808,4.241258798168676,1.2872673162040267,0.33390064698140876,0.5097560051391343
