,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.868,TK,0,-0.5970268050027416,1.264290386483543,1.5831998802029246,0.5200070078206729,0.6971339108190143,0.5662292099496482
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.922,TK,0,-0.1940568316320072,3.5558719724847054,1.0893288741579006,0.8424022646438215,0.3807171600848992,0.9679366120976288
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.909,TK,0,0.8454788993300241,1.4015231866788482,1.1855386874701654,0.947939609321957,0.6427816753051191,0.6319127852168447
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.934,TK,0,-0.8625644568701261,2.0740956326236484,0.768369632667025,0.7457516534904299,0.6565334092102032,0.37838033856222536
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.923,TK,0,-0.2196018675500544,1.9577004198925656,2.118776488260671,1.1078763016433124,0.43984428291232325,0.7453260945570218
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.932,TK,0,-0.47225187227184123,1.7512288031672045,1.4010869309435037,0.22038257411055873,0.3473411608187624,0.6767088639973122
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.899,TK,0,-0.46224011858510006,1.5326564090844685,1.9436716923791006,0.8893876024955406,0.5109089989998733,0.853427727536804
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.923,TK,0,-0.5124151968276884,1.5953046519498892,1.8886790345642837,0.8847690745516876,0.4382940877265487,2.0
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.949,TK,0,-0.2725293841994634,1.7921002218449897,1.5990750420763513,0.8975847455453189,0.5963651379282272,1.674938537013549
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.921,TK,0,-0.7957964398866845,0.8212881489883118,3.046660666761066,1.3780351213850859,0.6482955750875017,1.636529658697648
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.833,TK,0,-0.7583459799087752,2.4486726977780178,0.2,0.1,0.5785721312421306,0.6615288583091589
11,las,706.6836086404066,2020-07-14,2023-06-16,0.936,TK,0,0.19090256484242327,2.080354585764024,0.6577450717888597,0.29831003356888147,0.5685956736474493,0.5774655509881934
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.889,TK,0,-0.7541590534641327,1.2018920671047413,1.6840227775333827,1.032853418680733,0.8473865631035918,2.0
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.916,TK,0,-1.3182497191645415,0.9227977457982673,0.8348403669197432,0.34436120919419616,1.046257374763704,0.4791895085499693
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.775,TK,0,1.1991265058202993,1.4246293758253579,2.0521032136505113,0.48058877184075627,0.34976509571435827,0.4196799707457412
15,olg,923.780701754386,2021-07-29,2022-07-05,0.903,TK,0,-2.7455213639543645,0.4833508176584917,1.5654204407662844,0.8823868977725433,0.9727881714478587,0.4803095927766768
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.888,TK,0,-0.5701771784672178,1.8632539631624339,1.3327627187648683,0.8555147288991093,0.5736358632548328,0.6474617979550447
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.894,TK,0,-0.7636809668400681,1.1390578751738925,2.035451503967931,0.8798431398272419,0.34753570342607837,0.45678026813222994
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.878,TK,0,-5.0,0.2716532596808615,4.989055891960024,1.4739370860537861,0.1,0.3103368959109153
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.922,TK,0,-0.721496176783641,1.8300279613876886,0.2,0.1,1.224399917113322,0.5105794579961642
