,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.928,P1+,67,-0.5073162629353563,1.5654166896082584,1.8661543153075935,0.5229427015681393,0.584116684303665,0.7509306811918854,0.7236160999828177
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.906,P1+,67,-0.20304455735611115,3.2859287015251897,1.328956922823315,0.8898590831794709,0.38132816506824335,1.2370116896505485,0.831571052657279
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.942,P1+,67,0.8248042673585407,1.474500133463501,1.5433443084676965,1.0087066863521137,0.5910927124903974,0.8347587356447093,0.5699222148787055
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.932,P1+,67,-0.49004703733260585,3.4762801273207673,0.7511584462153592,0.5654614686721501,0.4870930121625153,0.500985904778484,0.43815706029006973
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.941,P1+,67,-0.21324049314096113,2.1804038948207385,2.275431540687911,1.1398726641478787,0.4377503462690682,0.7215010208887365,0.679056893191316
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.933,P1+,67,-0.38486069720797045,2.1932008361286615,1.3042694839171152,0.3600124342132812,0.3151603565624704,0.6800638118898732,0.7310203471560415
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.921,P1+,67,-0.39368086719146406,1.6872983259149807,2.260575249057734,0.9589008964175176,0.4720528708665773,0.7954873404331891,0.8098998232302683
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.927,P1+,67,-0.37485440891283345,2.094491128947715,2.331804437567877,0.7011759849052694,0.2989249789776504,2.0,0.7607871077262227
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.941,P1+,67,-0.20716405401619994,2.356424762213863,1.780485979868168,0.7515352457425767,0.4562552544833,1.0007742934977417,0.9907514452708968
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.917,P1+,67,-0.7258782760230846,0.892605924788576,4.257361470851316,1.3078322064950543,0.49019325498166727,2.0,0.9432996527298738
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.878,P1+,67,-1.0556132083418717,2.1012562560435843,0.35492002724827126,0.1113470185852032,0.1,1.4286737747713822,0.38937629713668087
11,las,706.6836086404066,2020-07-14,2023-06-16,0.937,P1+,67,0.13608864320144695,2.6911530699664357,0.7544845004015295,0.39613024235955524,0.5348408390059084,0.6881319716774809,0.39586833120910614
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.933,P1+,67,-0.5104907001144325,1.7541922339339433,2.033514444543348,0.8945547689149103,0.583510882302785,0.9422162845234936,0.7757030646542159
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.915,P1+,67,-1.817650588795033,0.7009187228537438,2.1346531988685,0.3561531323607782,0.8381891959503455,0.9243920035832799,0.32416728709096393
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.856,P1+,67,1.9793450238509145,0.9629763604828886,10.0,0.8434512401204404,0.3552139260782402,0.2681926229878954,0.4657384898731772
15,olg,923.780701754386,2021-07-29,2022-07-05,0.941,P1+,67,-5.0,0.2789105461839123,2.509434638503137,1.789373020131782,0.16658903486676852,0.6046715034491531,0.3218252774386044
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.927,P1+,67,-0.5093334721455333,2.185435591252933,1.540153564855968,0.9176683810575939,0.5811439090472054,0.715354243761979,0.619253738283029
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.901,P1+,67,-0.5528260737311737,1.649475878272984,2.0962711326039933,0.6846563847602815,0.3003040488494752,0.6839852473872519,0.6230364389619769
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.912,P1+,67,-4.653165523212241,0.3455162878187719,10.0,1.8818870793428208,0.1,0.9623138660791085,0.1
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.944,P1+,67,-0.7103143525941503,1.9610464998893489,0.2,0.1,1.4103412715608863,0.5259612854320811,0.7235326391442753
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.901,P1+,67,-0.08172713108896364,1.1100081299568982,2.9417462385123767,0.9843642940169518,0.25473984829483604,0.7089707062506593,0.4629697538244146
